mouse,tissue,group,day,Mass (mg),Amount of trizol added (ml) ,Amount extracted (ml),Fraction extracted,RNA Pre Dnase Conc. (ng/ul),Dnase Treatment Date (Only adding 10ug of RNA),uL to add to Dnase rxn,uL of water to add,Dnase dilution,RNA Post Dnase Conc.,cDNA creation ,cDNA diltuion,fraction added to QPCR,fraction represented,multiplier to reprent full sample,parasitemia_count
34,Sub Cu,IV,14,43.3,1,1,1,1046,,9.560229446,33.43977055,0.318674315,244.2,0.16,0.227272727,0.04,0.000463526,2157.375,
3,Sub Cu,IV,14,78.7,2,1,0.5,2228.3,,4.487726069,38.51227393,0.149590869,229.5,0.16,0.227272727,0.04,0.000108793,9191.7375,
35,Sub Cu,IV,14,23.4,1,1,1,874.7,,11.43249114,31.56750886,0.381083038,163.9,0.16,0.227272727,0.04,0.000554303,1804.06875,
2,Lung,IV,14,109.3,2,1,0.5,3753.3,,2.664322063,40.33567794,0.088810735,285,0.16,0.227272727,0.04,6.46E-05,15482.3625,
34,Lung,IV,14,91.7,2,1,0.5,2832.2,,3.530824094,39.46917591,0.117694136,265.3,0.16,0.227272727,0.04,8.56E-05,11682.825,
3,Lung,IV,14,106,2,1,0.5,2425,,4.12371134,38.87628866,0.137457045,260.9,0.16,0.227272727,0.04,1.00E-04,10003.125,
35,Lung,IV,14,101.6,2,1,0.5,2142.1,,4.668316138,38.33168386,0.155610538,261.1,0.16,0.227272727,0.04,0.000113171,8836.1625,
2,Brain,IV,14,272.5,5,1,0.2,558.5,,17.90510295,25.09489705,0.596836765,212.3,0.16,0.227272727,0.04,0.000173625,5759.53125,
34,Brain,IV,14,322.5,6,1,0.166666667,2162.8,,4.623636027,38.37636397,0.154121201,212.9,0.16,0.227272727,0.04,3.74E-05,26764.65,
3,Brain,IV,14,330.9,7,1,0.142857143,1933.1,,5.173038125,37.82696187,0.172434604,206.6,0.16,0.227272727,0.04,3.58E-05,27909.13125,
35,Brain,IV,14,277,6,1,0.166666667,1929.4,,5.182958433,37.81704157,0.172765281,209.1,0.16,0.227272727,0.04,4.19E-05,23876.325,
2,Ear,IV,14,34.5,1,1,1,779.5,,12.82873637,30.17126363,0.427624546,188.4,0.16,0.227272727,0.04,0.000621999,1607.71875,
34,Ear,IV,14,24.2,1,1,1,666.2,,15.01050736,27.98949264,0.500350245,181,0.16,0.227272727,0.04,0.000727782,1374.0375,
3,Ear,IV,14,34.2,1,1,1,929.5,,10.7584723,32.2415277,0.358615743,181.1,0.16,0.227272727,0.04,0.000521623,1917.09375,
35,Ear,IV,14,28.4,1,1,1,900.2,,11.10864252,31.89135748,0.370288084,157.6,0.16,0.227272727,0.04,0.000538601,1856.6625,
4,blood,IV,6,25,1,1,1,147.3,,30,13,1,63.5,0.08,0.227272727,0.04,0.000727273,1375,2.20E+08
6,blood,IV,6,25,1,1,1,85.9,,30,13,1,37.4,0.08,0.227272727,0.04,0.000727273,1375,2.60E+08
30,blood,IV,6,25,1,1,1,122.2,,30,13,1,47.8,0.08,0.227272727,0.04,0.000727273,1375,5.30E+08
36,blood,IV,6,25,1,1,1,189.3,,30,13,1,50.2,0.08,0.227272727,0.04,0.000727273,1375,3.60E+08
12,blood,IV,6,25,1,1,1,104.1,,30,13,1,,0.08,0.227272727,0.04,0.000727273,1375,1.60E+08
27,blood,IV,6,25,1,1,1,138.4,,30,13,1,59,0.08,0.227272727,0.04,0.000727273,1375,4.50E+08
32,blood,IV,6,25,1,1,1,179.8,,30,13,1,69.7,0.08,0.227272727,0.04,0.000727273,1375,3.90E+08
33,blood,IV,6,25,1,1,1,105.7,,30,13,1,40.2,0.08,0.227272727,0.04,0.000727273,1375,2.20E+08
4,blood,IV,10,25,1,1,1,395.7,12/3/19,25.27167046,17.72832954,0.842389015,162.6,0.08,0.227272727,0.04,0.000612647,1632.2625,7.00E+06
6,blood,IV,10,25,1,1,1,389,12/3/19,25.70694087,17.29305913,0.856898029,135.5,0.08,0.227272727,0.04,0.000623199,1604.625,5.50E+06
