cell,mouse,source,number_of_VSGs
A8_mouse2_fat,mouse2,fat,1
A9_Mix_random_R1,invitro,mix,4
B10_Mix_random_R1,invitro,mix,5
B10_Mix_random_R2,invitro,mix,6
B10_mouse1_blood,mouse1,blood,6
B10_mouse1_fat,mouse1,fat,8
B10_mouse2_fat,mouse2,fat,6
B11_Lung_R2,mouse1,lung,3
B11_Mix_random_R1,invitro,mix,6
B11_Mix_random_R2,invitro,mix,3
B11_mouse1_fat,mouse1,fat,2
B11_mouse2_fat,mouse2,fat,3
B11_mouse2_heart,mouse2,heart,4
B12_Mix_random_R1,invitro,mix,10
B12_Mix_random_R2,invitro,mix,3
B12_mouse1_blood,mouse1,blood,8
B12_mouse1_fat,mouse1,fat,7
B12_mouse2_heart,mouse2,heart,4
B13_Mix_random_R1,invitro,mix,6
B13_Mix_random_R2,invitro,mix,6
B13_mouse1_fat,mouse1,fat,5
B14_Mix_random_R1,invitro,mix,2
B14_Mix_random_R2,invitro,mix,5
B14_mouse1_blood,mouse1,blood,4
B14_mouse1_fat,mouse1,fat,6
B14_mouse2_heart,mouse2,heart,1
B15_Lung_R2,mouse1,lung,3
B15_Mix_random_R1,invitro,mix,2
B15_Mix_random_R2,invitro,mix,2
B15_mouse1_blood,mouse1,blood,10
B15_mouse1_fat,mouse1,fat,3
B15_mouse2_fat,mouse2,fat,3
B15_mouse2_heart,mouse2,heart,6
B16_Mix_random_R1,invitro,mix,5
B16_Mix_random_R2,invitro,mix,3
B16_mouse1_fat,mouse1,fat,9
B16_mouse2_fat,mouse2,fat,7
B16_mouse2_heart,mouse2,heart,5
B17_Mix_random_R1,invitro,mix,5
B17_Mix_random_R2,invitro,mix,4
B17_mouse1_fat,mouse1,fat,4
B17_mouse2_fat,mouse2,fat,4
B17_mouse2_heart,mouse2,heart,5
B18_Mix_random_R1,invitro,mix,5
B18_mouse1_blood,mouse1,blood,5
B18_mouse1_fat,mouse1,fat,3
B18_mouse2_fat,mouse2,fat,4
B18_mouse2_heart,mouse2,heart,4
B19_Lung_R2,mouse1,lung,3
B19_mouse1_blood,mouse1,blood,2
B19_mouse1_fat,mouse1,fat,4
B19_mouse2_fat,mouse2,fat,6
B1_Mix_random_R1,invitro,mix,3
B1_mouse1_blood,mouse1,blood,2
B1_mouse1_fat,mouse1,fat,6
B20_Mix_random_R2,invitro,mix,2
B20_mouse2_fat,mouse2,fat,5
B21_Mix_random_R1,invitro,mix,9
B21_Mix_random_R2,invitro,mix,3
B21_mouse1_fat,mouse1,fat,4
B21_mouse2_fat,mouse2,fat,3
B21_mouse2_heart,mouse2,heart,2
B22_Mix_random_R1,invitro,mix,4
B22_Mix_random_R2,invitro,mix,6
B22_mouse1_blood,mouse1,blood,1
B22_mouse1_fat,mouse1,fat,3
B22_mouse1_heart,mouse1,heart,5
B22_mouse2_blood,mouse2,blood,2
B22_mouse2_heart,mouse2,heart,11
B23_Lung_R2,mouse1,lung,4
B23_Mix_random_R1,invitro,mix,5
B23_Mix_random_R2,invitro,mix,3
B23_mouse1_fat,mouse1,fat,10
B23_mouse1_heart,mouse1,heart,5
B24_Mix_random_R1,invitro,mix,7
B24_Mix_random_R2,invitro,mix,5
B24_mouse1_blood,mouse1,blood,3
B24_mouse1_heart,mouse1,heart,1
B24_mouse2_blood,mouse2,blood,6
B24_mouse2_heart,mouse2,heart,5
B2_Mix_random_R1,invitro,mix,5
B2_mouse1_blood,mouse1,blood,4
B2_mouse1_fat,mouse1,fat,2
B3_Mix_random_R1,invitro,mix,3
B3_mouse1_blood,mouse1,blood,1
B3_mouse1_fat,mouse1,fat,5
B3_mouse2_heart,mouse2,heart,6
B4_Mix_random_R1,invitro,mix,3
B4_mouse1_blood,mouse1,blood,5
B4_mouse1_fat,mouse1,fat,6
B4_mouse2_fat,mouse2,fat,2
B4_mouse2_heart,mouse2,heart,3
B5_Mix_random_R1,invitro,mix,8
B5_mouse1_blood,mouse1,blood,2
B5_mouse1_fat,mouse1,fat,5
B5_mouse2_fat,mouse2,fat,2
B6_Mix_random_R1,invitro,mix,4
B6_mouse1_fat,mouse1,fat,2
B6_mouse2_fat,mouse2,fat,7
B7_Mix_random_R1,invitro,mix,3
B7_mouse1_blood,mouse1,blood,4
B7_mouse1_fat,mouse1,fat,4
B7_mouse2_fat,mouse2,fat,5
B7_mouse2_heart,mouse2,heart,4
B8_Mix_random_R1,invitro,mix,4
B8_mouse1_blood,mouse1,blood,4
B8_mouse2_fat,mouse2,fat,6
B8_mouse2_heart,mouse2,heart,6
B9_Mix_random_R1,invitro,mix,4
B9_Mix_random_R2,invitro,mix,7
B9_mouse1_blood,mouse1,blood,3
B9_mouse1_fat,mouse1,fat,4
B9_mouse2_heart,mouse2,heart,7
C10_Mix_random_R1,invitro,mix,3
C10_Mix_random_R2,invitro,mix,4
C10_mouse1_fat,mouse1,fat,6
C10_mouse1_heart,mouse1,heart,8
C11_Mix_random_R2,invitro,mix,6
C11_mouse1_heart,mouse1,heart,2
C11_mouse2_heart,mouse2,heart,4
C12_Mix_random_R1,invitro,mix,3
C12_Mix_random_R2,invitro,mix,6
C12_mouse1_blood,mouse1,blood,7
C12_mouse1_fat,mouse1,fat,3
C12_mouse1_heart,mouse1,heart,4
C12_mouse2_fat,mouse2,fat,4
C13_Mix_random_R1,invitro,mix,3
C13_Mix_random_R2,invitro,mix,8
C13_mouse1_blood,mouse1,blood,5
C13_mouse1_fat,mouse1,fat,6
C13_mouse1_heart,mouse1,heart,8
C13_mouse2_blood,mouse2,blood,2
C13_mouse2_heart,mouse2,heart,4
C13_mouse2_lung,mouse2,lung,3
C14_Mix_random_R1,invitro,mix,2
C14_Mix_random_R2,invitro,mix,8
C14_mouse1_fat,mouse1,fat,8
C14_mouse1_heart,mouse1,heart,6
C14_mouse2_blood,mouse2,blood,3
C14_mouse2_lung,mouse2,lung,1
C15_Mix_random_R1,invitro,mix,2
C15_Mix_random_R2,invitro,mix,5
C15_mouse1_blood,mouse1,blood,5
C15_mouse1_fat,mouse1,fat,5
C15_mouse1_heart,mouse1,heart,4
C15_mouse2_blood,mouse2,blood,2
C15_mouse2_heart,mouse2,heart,2
C15_mouse2_lung,mouse2,lung,6
C16_Mix_random_R1,invitro,mix,2
C16_mouse1_blood,mouse1,blood,3
C16_mouse2_fat,mouse2,fat,3
C16_mouse2_lung,mouse2,lung,4
C17_Mix_random_R1,invitro,mix,7
C17_Mix_random_R2,invitro,mix,3
C17_mouse1_blood,mouse1,blood,6
C17_mouse1_fat,mouse1,fat,4
C17_mouse1_heart,mouse1,heart,4
C17_mouse2_fat,mouse2,fat,8
C17_mouse2_lung,mouse2,lung,1
C18_Mix_random_R1,invitro,mix,5
C18_mouse1_blood,mouse1,blood,7
C18_mouse1_heart,mouse1,heart,11
C18_mouse2_heart,mouse2,heart,5
C19_mouse1_blood,mouse1,blood,3
C19_mouse1_heart,mouse1,heart,5
C19_mouse2_blood,mouse2,blood,2
C19_mouse2_fat,mouse2,fat,7
C19_mouse2_heart,mouse2,heart,5
C19_mouse2_lung,mouse2,lung,4
C1_Mix_random_R2,invitro,mix,8
C1_mouse1_blood,mouse1,blood,4
C1_mouse1_fat,mouse1,fat,6
C1_mouse2_heart,mouse2,heart,4
C20_mouse1_fat,mouse1,fat,6
C20_mouse1_heart,mouse1,heart,6
C20_mouse2_fat,mouse2,fat,3
C20_mouse2_heart,mouse2,heart,8
C20_mouse2_lung,mouse2,lung,3
C21_Mix_random_R1,invitro,mix,8
C21_Mix_random_R2,invitro,mix,3
C21_mouse1_blood,mouse1,blood,1
C21_mouse1_fat,mouse1,fat,2
C21_mouse2_fat,mouse2,fat,4
C21_mouse2_heart,mouse2,heart,12
C21_mouse2_lung,mouse2,lung,6
C22_Mix_random_R2,invitro,mix,3
C22_mouse1_fat,mouse1,fat,6
C22_mouse1_heart,mouse1,heart,5
C22_mouse2_lung,mouse2,lung,2
C23_Mix_random_R1,invitro,mix,6
C23_Mix_random_R2,invitro,mix,3
C24_Mix_random_R1,invitro,mix,3
C24_mouse1_blood,mouse1,blood,2
C24_mouse1_heart,mouse1,heart,2
C2_Mix_random_R1,invitro,mix,6
C2_Mix_random_R2,invitro,mix,3
C2_mouse1_blood,mouse1,blood,5
C2_mouse1_heart,mouse1,heart,8
C2_mouse2_heart,mouse2,heart,5
C4_Mix_random_R2,invitro,mix,6
C4_mouse1_blood,mouse1,blood,5
C4_mouse1_fat,mouse1,fat,1
C4_mouse1_heart,mouse1,heart,9
C5_Mix_random_R1,invitro,mix,5
C5_Mix_random_R2,invitro,mix,5
C5_mouse1_blood,mouse1,blood,5
C5_mouse1_heart,mouse1,heart,5
C5_mouse2_fat,mouse2,fat,5
C6_Mix_random_R1,invitro,mix,4
C6_Mix_random_R2,invitro,mix,2
C6_mouse1_blood,mouse1,blood,4
C6_mouse1_fat,mouse1,fat,2
C6_mouse1_heart,mouse1,heart,8
C6_mouse2_heart,mouse2,heart,2
C7_Mix_random_R1,invitro,mix,4
C7_Mix_random_R2,invitro,mix,5
C7_mouse1_blood,mouse1,blood,6
C7_mouse1_fat,mouse1,fat,4
C7_mouse1_heart,mouse1,heart,6
C8_Mix_random_R1,invitro,mix,9
C8_Mix_random_R2,invitro,mix,7
C8_mouse1_fat,mouse1,fat,6
C8_mouse1_heart,mouse1,heart,9
C9_Mix_random_R1,invitro,mix,2
C9_Mix_random_R2,invitro,mix,3
C9_mouse1_blood,mouse1,blood,4
C9_mouse1_heart,mouse1,heart,7
C9_mouse2_heart,mouse2,heart,4
D10_Mix_random_R2,invitro,mix,5
D10_mouse1_blood,mouse1,blood,5
D10_mouse1_fat,mouse1,fat,3
D10_mouse1_heart,mouse1,heart,4
D11_Mix_random_R1,invitro,mix,4
D11_Mix_random_R2,invitro,mix,6
D11_mouse1_blood,mouse1,blood,2
D11_mouse1_fat,mouse1,fat,3
D11_mouse1_heart,mouse1,heart,4
D11_mouse2_fat,mouse2,fat,2
D11_mouse2_heart,mouse2,heart,2
D12_Mix_random_R1,invitro,mix,3
D12_Mix_random_R2,invitro,mix,6
D12_mouse1_blood,mouse1,blood,2
D12_mouse1_fat,mouse1,fat,5
D12_mouse1_heart,mouse1,heart,8
D13_Mix_random_R1,invitro,mix,4
D13_Mix_random_R2,invitro,mix,4
D13_mouse1_blood,mouse1,blood,2
D13_mouse2_heart,mouse2,heart,2
D13_mouse2_lung,mouse2,lung,4
D14_Mix_random_R1,invitro,mix,2
D14_Mix_random_R2,invitro,mix,4
D14_mouse1_blood,mouse1,blood,8
D14_mouse1_fat,mouse1,fat,9
D14_mouse2_lung,mouse2,lung,4
D15_Mix_random_R1,invitro,mix,3
D15_Mix_random_R2,invitro,mix,5
D15_mouse1_blood,mouse1,blood,9
D15_mouse1_fat,mouse1,fat,2
D15_mouse1_heart,mouse1,heart,3
D15_mouse2_heart,mouse2,heart,4
D15_mouse2_lung,mouse2,lung,6
D16_Mix_random_R2,invitro,mix,2
D16_mouse1_blood,mouse1,blood,2
D16_mouse1_fat,mouse1,fat,6
D16_mouse1_heart,mouse1,heart,3
D16_mouse2_fat,mouse2,fat,3
D17_Mix_random_R1,invitro,mix,2
D17_Mix_random_R2,invitro,mix,1
D17_mouse1_heart,mouse1,heart,6
D17_mouse2_fat,mouse2,fat,4
D17_mouse2_lung,mouse2,lung,2
D18_Mix_random_R1,invitro,mix,5
D18_mouse1_blood,mouse1,blood,4
D18_mouse1_heart,mouse1,heart,9
D18_mouse2_fat,mouse2,fat,5
D19_mouse1_blood,mouse1,blood,3
D19_mouse1_heart,mouse1,heart,3
D19_mouse2_blood,mouse2,blood,4
D19_mouse2_fat,mouse2,fat,2
D19_mouse2_heart,mouse2,heart,3
D1_Mix_random_R1,invitro,mix,2
D1_Mix_random_R2,invitro,mix,6
D1_mouse1_blood,mouse1,blood,4
D1_mouse1_fat,mouse1,fat,4
D1_mouse2_heart,mouse2,heart,2
D20_Mix_random_R1,invitro,mix,4
D20_Mix_random_R2,invitro,mix,5
D20_mouse1_heart,mouse1,heart,3
D20_mouse2_fat,mouse2,fat,4
D20_mouse2_heart,mouse2,heart,3
D20_mouse2_lung,mouse2,lung,1
D21_Mix_random_R1,invitro,mix,4
D21_Mix_random_R2,invitro,mix,4
D21_mouse1_fat,mouse1,fat,6
D21_mouse1_heart,mouse1,heart,8
D21_mouse2_blood,mouse2,blood,2
D21_mouse2_fat,mouse2,fat,5
D21_mouse2_heart,mouse2,heart,7
D21_mouse2_lung,mouse2,lung,3
D22_Mix_random_R1,invitro,mix,7
D22_Mix_random_R2,invitro,mix,4
D22_mouse1_blood,mouse1,blood,3
D22_mouse1_fat,mouse1,fat,4
D22_mouse1_heart,mouse1,heart,7
D22_mouse2_lung,mouse2,lung,4
D23_Mix_random_R1,invitro,mix,9
D23_mouse1_blood,mouse1,blood,3
D23_mouse1_fat,mouse1,fat,2
D23_mouse1_heart,mouse1,heart,8
D2_Mix_random_R1,invitro,mix,4
D2_Mix_random_R2,invitro,mix,8
D2_mouse1_blood,mouse1,blood,2
D2_mouse1_fat,mouse1,fat,2
D2_mouse1_heart,mouse1,heart,4
D2_mouse2_fat,mouse2,fat,2
D3_Mix_random_R1,invitro,mix,3
D3_Mix_random_R2,invitro,mix,4
D3_mouse1_blood,mouse1,blood,4
D3_mouse1_fat,mouse1,fat,3
D3_mouse1_heart,mouse1,heart,11
D4_Mix_random_R1,invitro,mix,8
D4_Mix_random_R2,invitro,mix,8
D4_mouse1_blood,mouse1,blood,7
D4_mouse1_fat,mouse1,fat,2
D4_mouse1_heart,mouse1,heart,10
D4_mouse2_fat,mouse2,fat,4
D5_Mix_random_R1,invitro,mix,5
D5_Mix_random_R2,invitro,mix,4
D5_mouse1_blood,mouse1,blood,4
D5_mouse1_fat,mouse1,fat,4
D5_mouse1_heart,mouse1,heart,6
D5_mouse2_fat,mouse2,fat,3
D6_Mix_random_R2,invitro,mix,5
D6_mouse1_blood,mouse1,blood,6
D6_mouse1_fat,mouse1,fat,9
D6_mouse1_heart,mouse1,heart,10
D7_Mix_random_R1,invitro,mix,2
D7_Mix_random_R2,invitro,mix,6
D7_mouse1_blood,mouse1,blood,5
D7_mouse1_fat,mouse1,fat,4
D7_mouse1_heart,mouse1,heart,11
D7_mouse2_heart,mouse2,heart,1
D8_Lung_R2,mouse1,lung,2
D8_Mix_random_R2,invitro,mix,4
D8_mouse1_blood,mouse1,blood,4
D8_mouse1_fat,mouse1,fat,3
D8_mouse1_heart,mouse1,heart,9
D8_mouse2_heart,mouse2,heart,2
D9_Mix_random_R1,invitro,mix,7
D9_mouse1_fat,mouse1,fat,7
D9_mouse1_heart,mouse1,heart,9
D9_mouse2_heart,mouse2,heart,3
E10_Lung_R2,mouse1,lung,3
E10_Mix_random_R2,invitro,mix,2
E10_mouse1_blood,mouse1,blood,3
E10_mouse1_fat,mouse1,fat,5
E10_mouse2_heart,mouse2,heart,3
E12_Lung_R2,mouse1,lung,3
E12_Mix_random_R1,invitro,mix,5
E12_Mix_random_R2,invitro,mix,6
E12_mouse1_blood,mouse1,blood,6
E13_Lung_R2,mouse1,lung,2
E13_Mix_random_R1,invitro,mix,3
E13_Mix_random_R2,invitro,mix,6
E13_mouse1_blood,mouse1,blood,4
E13_mouse1_fat,mouse1,fat,7
E14_Lung_R2,mouse1,lung,3
E14_Mix_random_R2,invitro,mix,2
E14_mouse1_blood,mouse1,blood,3
E14_mouse1_fat,mouse1,fat,5
E14_mouse2_heart,mouse2,heart,3
E15_Lung_R2,mouse1,lung,2
E15_Mix_random_R2,invitro,mix,4
E15_mouse1_blood,mouse1,blood,3
E15_mouse1_fat,mouse1,fat,9
E16_Lung_R2,mouse1,lung,1
E16_Mix_random_R1,invitro,mix,2
E16_mouse1_blood,mouse1,blood,6
E16_mouse1_fat,mouse1,fat,3
E16_mouse1_heart,mouse1,heart,1
E17_Lung_R2,mouse1,lung,4
E17_Mix_random_R2,invitro,mix,3
E17_mouse1_blood,mouse1,blood,4
E17_mouse1_fat,mouse1,fat,7
E17_mouse2_fat,mouse2,fat,4
E17_mouse2_heart,mouse2,heart,2
E18_Lung_R2,mouse1,lung,1
E18_Mix_random_R1,invitro,mix,2
E18_mouse1_blood,mouse1,blood,4
E18_mouse1_fat,mouse1,fat,1
E18_mouse1_heart,mouse1,heart,5
E18_mouse2_blood,mouse2,blood,1
E18_mouse2_fat,mouse2,fat,3
E18_mouse2_heart,mouse2,heart,3
E19_Lung_R2,mouse1,lung,4
E19_Mix_random_R1,invitro,mix,3
E19_Mix_random_R2,invitro,mix,4
E19_mouse1_blood,mouse1,blood,1
E19_mouse2_fat,mouse2,fat,1
E19_mouse2_heart,mouse2,heart,6
E1_Mix_random_R2,invitro,mix,2
E1_mouse1_blood,mouse1,blood,2
E1_mouse1_fat,mouse1,fat,4
E20_Lung_R2,mouse1,lung,4
E20_Mix_random_R2,invitro,mix,6
E20_mouse1_blood,mouse1,blood,1
E20_mouse2_heart,mouse2,heart,2
E21_Lung_R2,mouse1,lung,5
E21_Mix_random_R1,invitro,mix,3
E21_Mix_random_R2,invitro,mix,8
E21_mouse1_blood,mouse1,blood,2
E21_mouse1_heart,mouse1,heart,4
E21_mouse2_blood,mouse2,blood,9
E21_mouse2_heart,mouse2,heart,2
E22_Mix_random_R1,invitro,mix,7
E22_Mix_random_R2,invitro,mix,3
E22_mouse1_blood,mouse1,blood,3
E22_mouse1_heart,mouse1,heart,4
E22_mouse2_blood,mouse2,blood,4
E23_Lung_R2,mouse1,lung,5
E23_Mix_random_R1,invitro,mix,7
E23_mouse1_blood,mouse1,blood,8
E23_mouse1_fat,mouse1,fat,1
E23_mouse1_heart,mouse1,heart,5
E23_mouse2_heart,mouse2,heart,3
E24_Lung_R2,mouse1,lung,2
E24_Mix_random_R1,invitro,mix,4
E24_Mix_random_R2,invitro,mix,1
E24_mouse1_blood,mouse1,blood,3
E24_mouse1_fat,mouse1,fat,3
E24_mouse1_heart,mouse1,heart,4
E24_mouse2_heart,mouse2,heart,2
E2_Mix_random_R2,invitro,mix,5
E2_mouse1_blood,mouse1,blood,4
E2_mouse2_heart,mouse2,heart,4
E3_mouse1_blood,mouse1,blood,7
E3_mouse1_fat,mouse1,fat,4
E4_Mix_random_R1,invitro,mix,1
E4_Mix_random_R2,invitro,mix,9
E4_mouse1_blood,mouse1,blood,7
E4_mouse1_fat,mouse1,fat,2
E5_Mix_random_R2,invitro,mix,2
E5_mouse1_blood,mouse1,blood,8
E5_mouse2_fat,mouse2,fat,4
E5_mouse2_heart,mouse2,heart,5
E6_Mix_random_R2,invitro,mix,1
E6_mouse2_fat,mouse2,fat,6
E6_mouse2_heart,mouse2,heart,1
E7_Mix_random_R2,invitro,mix,3
E7_mouse1_fat,mouse1,fat,5
E7_mouse2_fat,mouse2,fat,4
E8_Mix_random_R2,invitro,mix,1
E8_mouse1_blood,mouse1,blood,4
E8_mouse1_fat,mouse1,fat,1
E9_Mix_random_R2,invitro,mix,2
E9_mouse2_heart,mouse2,heart,5
F10_Lung_R2,mouse1,lung,4
F10_mouse1_blood,mouse1,blood,8
F10_mouse1_fat,mouse1,fat,5
F11_Mix_random_R1,invitro,mix,1
F11_Mix_random_R2,invitro,mix,4
F11_mouse1_blood,mouse1,blood,3
F11_mouse1_fat,mouse1,fat,7
F11_mouse2_heart,mouse2,heart,4
F12_Lung_R2,mouse1,lung,5
F12_Mix_random_R2,invitro,mix,6
F12_mouse1_blood,mouse1,blood,6
F12_mouse1_fat,mouse1,fat,7
F12_mouse2_lung,mouse2,lung,1
F13_Mix_random_R2,invitro,mix,4
F13_mouse1_blood,mouse1,blood,3
F13_mouse2_heart,mouse2,heart,3
F14_Lung_R2,mouse1,lung,4
F14_Mix_random_R2,invitro,mix,4
F14_mouse1_blood,mouse1,blood,5
F14_mouse1_fat,mouse1,fat,2
F14_mouse2_heart,mouse2,heart,3
F15_Lung_R2,mouse1,lung,4
F15_Mix_random_R2,invitro,mix,4
F15_mouse1_blood,mouse1,blood,3
F15_mouse2_fat,mouse2,fat,2
F15_mouse2_heart,mouse2,heart,4
F16_Mix_random_R1,invitro,mix,1
F16_Mix_random_R2,invitro,mix,4
F16_mouse1_blood,mouse1,blood,5
F16_mouse1_heart,mouse1,heart,1
F17_Lung_R2,mouse1,lung,4
F17_mouse1_blood,mouse1,blood,6
F17_mouse1_fat,mouse1,fat,1
F17_mouse1_heart,mouse1,heart,1
F18_Mix_random_R1,invitro,mix,1
F18_mouse1_blood,mouse1,blood,3
F18_mouse1_fat,mouse1,fat,6
F18_mouse1_heart,mouse1,heart,6
F18_mouse2_blood,mouse2,blood,2
F18_mouse2_fat,mouse2,fat,5
F18_mouse2_heart,mouse2,heart,3
F19_Lung_R2,mouse1,lung,4
F19_Mix_random_R1,invitro,mix,6
F19_mouse1_blood,mouse1,blood,4
F19_mouse1_fat,mouse1,fat,4
F19_mouse2_heart,mouse2,heart,3
F1_Mix_random_R1,invitro,mix,3
F1_Mix_random_R2,invitro,mix,6
F1_mouse1_blood,mouse1,blood,3
F1_mouse2_heart,mouse2,heart,2
F20_Lung_R2,mouse1,lung,4
F20_Mix_random_R1,invitro,mix,7
F20_Mix_random_R2,invitro,mix,6
F20_mouse1_blood,mouse1,blood,3
F20_mouse1_heart,mouse1,heart,7
F21_Lung_R2,mouse1,lung,5
F21_Mix_random_R1,invitro,mix,8
F21_mouse1_blood,mouse1,blood,2
F21_mouse1_fat,mouse1,fat,1
F21_mouse1_heart,mouse1,heart,2
F21_mouse2_blood,mouse2,blood,3
F21_mouse2_heart,mouse2,heart,3
F23_Lung_R2,mouse1,lung,4
F23_Mix_random_R1,invitro,mix,3
F23_Mix_random_R2,invitro,mix,2
F23_mouse1_blood,mouse1,blood,2
F23_mouse1_heart,mouse1,heart,8
F23_mouse2_blood,mouse2,blood,4
F24_Lung_R2,mouse1,lung,4
F24_Mix_random_R1,invitro,mix,2
F24_Mix_random_R2,invitro,mix,2
F24_mouse1_blood,mouse1,blood,6
F24_mouse1_fat,mouse1,fat,2
F24_mouse1_heart,mouse1,heart,5
F24_mouse2_heart,mouse2,heart,4
F2_Mix_random_R2,invitro,mix,4
F2_mouse1_blood,mouse1,blood,6
F2_mouse2_heart,mouse2,heart,2
F3_Mix_random_R1,invitro,mix,1
F3_mouse1_blood,mouse1,blood,6
F3_mouse1_heart,mouse1,heart,5
F3_mouse2_heart,mouse2,heart,10
F4_mouse1_blood,mouse1,blood,4
F4_mouse1_heart,mouse1,heart,4
F5_Mix_random_R2,invitro,mix,4
F5_mouse1_blood,mouse1,blood,4
F5_mouse2_fat,mouse2,fat,4
F6_mouse1_blood,mouse1,blood,2
F6_mouse2_fat,mouse2,fat,3
F7_Mix_random_R1,invitro,mix,2
F7_Mix_random_R2,invitro,mix,3
F7_mouse1_blood,mouse1,blood,2
F7_mouse1_fat,mouse1,fat,2
F7_mouse2_fat,mouse2,fat,5
F8_Mix_random_R1,invitro,mix,1
F8_Mix_random_R2,invitro,mix,3
F8_mouse1_fat,mouse1,fat,1
F8_mouse2_fat,mouse2,fat,2
F9_Mix_random_R1,invitro,mix,1
F9_Mix_random_R2,invitro,mix,2
F9_mouse1_blood,mouse1,blood,4
F9_mouse1_fat,mouse1,fat,2
F9_mouse2_fat,mouse2,fat,4
G10_Lung_R2,mouse1,lung,3
G10_Mix_random_R2,invitro,mix,5
G10_mouse1_blood,mouse1,blood,9
G10_mouse1_fat,mouse1,fat,2
G10_mouse1_heart,mouse1,heart,11
G10_mouse2_lung,mouse2,lung,2
G11_Lung_R2,mouse1,lung,3
G11_Mix_random_R2,invitro,mix,4
G11_mouse1_blood,mouse1,blood,4
G11_mouse1_fat,mouse1,fat,1
G11_mouse1_heart,mouse1,heart,5
G11_mouse2_fat,mouse2,fat,4
G11_mouse2_heart,mouse2,heart,4
G12_Lung_R2,mouse1,lung,2
G12_Mix_random_R2,invitro,mix,8
G12_mouse1_blood,mouse1,blood,5
G12_mouse1_fat,mouse1,fat,5
G12_mouse1_heart,mouse1,heart,5
G12_mouse2_lung,mouse2,lung,4
G13_Mix_random_R2,invitro,mix,7
G13_mouse1_blood,mouse1,blood,2
G13_mouse1_fat,mouse1,fat,8
G13_mouse1_heart,mouse1,heart,6
G13_mouse2_heart,mouse2,heart,2
G14_Lung_R2,mouse1,lung,3
G14_Mix_random_R2,invitro,mix,5
G14_mouse1_heart,mouse1,heart,1
G15_mouse1_blood,mouse1,blood,3
G15_mouse1_fat,mouse1,fat,3
G15_mouse1_heart,mouse1,heart,1
G16_Lung_R2,mouse1,lung,2
G16_Mix_random_R2,invitro,mix,4
G16_mouse1_blood,mouse1,blood,3
G16_mouse1_fat,mouse1,fat,3
G16_mouse1_heart,mouse1,heart,3
G17_Mix_random_R1,invitro,mix,4
G17_Mix_random_R2,invitro,mix,4
G17_mouse1_blood,mouse1,blood,7
G17_mouse1_heart,mouse1,heart,5
G17_mouse2_blood,mouse2,blood,1
G17_mouse2_fat,mouse2,fat,5
